T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
60,60,60,36,12,12,5,10,10,12,9,12,1019.134791
70,60,60,12,24,24,5,5,5,12,12,9,825.51273
60,60,60,48,36,36,10,5,5,9,12,12,690.05648
70,70,60,24,24,12,10,10,5,12,12,12,640.184385
60,70,50,48,36,12,10,5,5,12,12,12,681.673106
70,60,50,48,48,24,5,10,5,9,12,12,1006.439614
60,60,50,48,36,36,5,5,5,9,12,12,1049.990042
70,60,50,12,12,12,10,10,5,9,12,9,629.712001
60,60,60,36,24,12,10,10,10,12,12,12,671.729833
70,70,60,36,36,24,5,10,10,9,9,12,987.112456
60,70,50,12,48,36,5,5,5,9,12,9,864.466549
70,70,60,36,48,12,10,5,10,12,12,12,635.991853
60,60,60,36,36,12,5,5,5,9,9,9,1024.446055
70,60,50,36,48,24,5,5,5,9,9,9,985.427147
60,60,50,36,24,36,10,10,10,12,9,9,671.485442
70,70,60,48,48,12,10,5,10,12,12,9,641.74575
60,70,60,24,24,12,10,5,5,12,9,12,673.751354
70,60,60,12,48,24,10,5,5,9,12,9,625.84108
60,70,50,12,12,36,5,10,5,9,12,9,869.665798
70,70,60,12,24,12,10,5,5,9,12,12,628.70205
60,70,50,36,48,12,5,5,10,12,9,12,1015.144177
70,70,60,36,48,24,10,10,10,12,12,12,636.120906
60,60,60,48,24,36,5,5,10,12,9,12,1043.458708
70,70,60,12,24,12,10,10,10,12,12,12,621.84753
60,70,50,12,48,12,10,10,5,12,9,12,651.76389
70,70,50,24,48,24,5,10,5,9,12,12,950.852873
60,70,50,48,12,36,10,10,10,9,9,9,692.028227
70,70,50,24,12,12,5,5,10,12,12,12,949.513207
60,60,50,12,12,12,5,5,10,9,9,12,870.223177
70,70,60,48,12,24,5,5,5,12,9,9,1004.855682
60,60,50,12,12,36,5,5,5,12,12,9,860.766479
70,60,50,24,12,12,10,10,10,12,9,12,641.078477
60,60,60,36,12,12,10,10,5,12,12,9,672.402485
70,60,60,24,36,24,10,5,5,12,12,12,638.68881
60,70,60,48,36,36,10,10,5,12,12,12,681.149425
70,60,60,12,12,12,10,10,10,9,12,12,629.712001
60,70,60,24,24,12,10,10,5,9,9,12,683.050398
70,70,50,36,12,24,10,10,10,9,12,12,644.726419
60,70,60,36,36,36,5,5,5,12,9,9,1016.349904
70,60,60,12,24,12,10,5,10,12,12,9,621.687941
